/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/10/10/,confirmed and probable,Waukesha County,10821,10011,810,27462
2020/10/11/,confirmed and probable,Waukesha County,10978,10164,814,27462
2020/10/12/,confirmed and probable,Waukesha County,11237,10409,828,27462
2020/10/13/,confirmed and probable,Waukesha County,11493,10651,842,27462
2020/10/14/,confirmed and probable,Waukesha County,11733,10871,862,27462
2020/10/15/,confirmed and probable,Waukesha County,11934,11062,872,27462
2020/10/16/,confirmed and probable,Waukesha County,12172,11287,885,27462
2020/10/17/,confirmed and probable,Waukesha County,12319,11426,893,27462
2020/10/18/,confirmed and probable,Waukesha County,12519,11616,903,27462
2020/10/19/,confirmed and probable,Waukesha County,12818,11900,918,27462
2020/10/20/,confirmed and probable,Waukesha County,13124,12187,937,27462
2020/10/21/,confirmed and probable,Waukesha County,13418,12460,958,27462
2020/10/22/,confirmed and probable,Waukesha County,13701,12728,973,27462
2020/10/23/,confirmed and probable,Waukesha County,13993,13001,992,27462
2020/10/24/,confirmed and probable,Waukesha County,14208,13204,1004,27462
2020/10/25/,confirmed and probable,Waukesha County,14424,13414,1010,27462
2020/10/26/,confirmed and probable,Waukesha County,14823,13788,1035,27462
2020/10/27/,confirmed and probable,Waukesha County,15178,14117,1061,27462
2020/10/28/,confirmed and probable,Waukesha County,15537,14461,1076,27462
2020/10/29/,confirmed and probable,Waukesha County,15970,14861,1109,27462
2020/10/30/,confirmed and probable,Waukesha County,16402,15262,1140,27462
2020/10/31/,confirmed and probable,Waukesha County,16660,15509,1151,27462
2020/11/1/,confirmed and probable,Waukesha County,16967,15796,1171,27462
2020/11/2/,confirmed and probable,Waukesha County,17665,16451,1214,27462
2020/11/3/,confirmed and probable,Waukesha County,18426,17179,1247,27462
2020/11/4/,confirmed and probable,Waukesha County,19149,17857,1292,27462
2020/11/5/,confirmed and probable,Waukesha County,19787,18447,1340,27462
2020/11/6/,confirmed and probable,Waukesha County,20419,19028,1391,27462
2020/11/7/,confirmed and probable,Waukesha County,20864,19444,1420,27462
2020/11/8/,confirmed and probable,Waukesha County,21236,19794,1442,27462
2020/11/9/,confirmed and probable,Waukesha County,22027,20531,1496,27462
2020/11/10/,confirmed and probable,Waukesha County,22642,21102,1540,27462
2020/11/11/,confirmed and probable,Waukesha County,23200,21593,1607,27462
2020/11/12/,confirmed and probable,Waukesha County,23745,22097,1648,27462
2020/11/13/,confirmed and probable,Waukesha County,24168,22479,1689,27462
2020/11/14/,confirmed and probable,Waukesha County,24419,22708,1711,27462
2020/11/15/,confirmed and probable,Waukesha County,24655,22924,1731,27462
2020/11/16/,confirmed and probable,Waukesha County,25192,23408,1784,27462
2020/11/17/,confirmed and probable,Waukesha County,25653,23818,1835,27462
2020/11/18/,confirmed and probable,Waukesha County,26076,24201,1875,27462
2020/11/19/,confirmed and probable,Waukesha County,26473,24534,1939,27462
2020/11/20/,confirmed and probable,Waukesha County,26789,24821,1968,27462
2020/11/21/,confirmed and probable,Waukesha County,26948,24968,1980,27462
2020/11/22/,confirmed and probable,Waukesha County,27069,25078,1991,27462
2020/11/23/,confirmed and probable,Waukesha County,27385,25358,2027,27462
2020/11/24/,confirmed and probable,Waukesha County,27452,25393,2059,27462
2020/11/25/,confirmed and probable,Waukesha County,27462,25397,2065,27462
