/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/9/27/,confirmed and probable,Milwaukee County,31593,29661,1932,70179
2020/9/28/,confirmed and probable,Milwaukee County,31943,29986,1957,70179
2020/9/29/,confirmed and probable,Milwaukee County,32282,30304,1978,70179
2020/9/30/,confirmed and probable,Milwaukee County,32583,30591,1992,70179
2020/10/1/,confirmed and probable,Milwaukee County,32881,30867,2014,70179
2020/10/2/,confirmed and probable,Milwaukee County,33187,31149,2038,70179
2020/10/3/,confirmed and probable,Milwaukee County,33450,31392,2058,70179
2020/10/4/,confirmed and probable,Milwaukee County,33679,31602,2077,70179
2020/10/5/,confirmed and probable,Milwaukee County,34132,32010,2122,70179
2020/10/6/,confirmed and probable,Milwaukee County,34601,32450,2151,70179
2020/10/7/,confirmed and probable,Milwaukee County,35061,32868,2193,70179
2020/10/8/,confirmed and probable,Milwaukee County,35537,33307,2230,70179
2020/10/9/,confirmed and probable,Milwaukee County,35971,33703,2268,70179
2020/10/10/,confirmed and probable,Milwaukee County,36324,34033,2291,70179
2020/10/11/,confirmed and probable,Milwaukee County,36653,34339,2314,70179
2020/10/12/,confirmed and probable,Milwaukee County,37232,34879,2353,70179
2020/10/13/,confirmed and probable,Milwaukee County,37726,35323,2403,70179
2020/10/14/,confirmed and probable,Milwaukee County,38257,35827,2430,70179
2020/10/15/,confirmed and probable,Milwaukee County,38786,36317,2469,70179
2020/10/16/,confirmed and probable,Milwaukee County,39336,36835,2501,70179
2020/10/17/,confirmed and probable,Milwaukee County,39713,37188,2525,70179
2020/10/18/,confirmed and probable,Milwaukee County,40060,37517,2543,70179
2020/10/19/,confirmed and probable,Milwaukee County,40761,38177,2584,70179
2020/10/20/,confirmed and probable,Milwaukee County,41443,38826,2617,70179
2020/10/21/,confirmed and probable,Milwaukee County,42158,39492,2666,70179
2020/10/22/,confirmed and probable,Milwaukee County,42826,40123,2703,70179
2020/10/23/,confirmed and probable,Milwaukee County,43528,40790,2738,70179
2020/10/24/,confirmed and probable,Milwaukee County,44021,41241,2780,70179
2020/10/25/,confirmed and probable,Milwaukee County,44494,41693,2801,70179
2020/10/26/,confirmed and probable,Milwaukee County,45507,42660,2847,70179
2020/10/27/,confirmed and probable,Milwaukee County,46383,43497,2886,70179
2020/10/28/,confirmed and probable,Milwaukee County,47336,44401,2935,70179
2020/10/29/,confirmed and probable,Milwaukee County,48257,45260,2997,70179
2020/10/30/,confirmed and probable,Milwaukee County,49222,46164,3058,70179
2020/10/31/,confirmed and probable,Milwaukee County,49925,46836,3089,70179
2020/11/1/,confirmed and probable,Milwaukee County,50650,47506,3144,70179
2020/11/2/,confirmed and probable,Milwaukee County,52043,48823,3220,70179
2020/11/3/,confirmed and probable,Milwaukee County,53354,50063,3291,70179
2020/11/4/,confirmed and probable,Milwaukee County,54670,51316,3354,70179
2020/11/5/,confirmed and probable,Milwaukee County,55983,52555,3428,70179
2020/11/6/,confirmed and probable,Milwaukee County,57296,53799,3497,70179
2020/11/7/,confirmed and probable,Milwaukee County,58084,54530,3554,70179
2020/11/8/,confirmed and probable,Milwaukee County,58808,55210,3598,70179
2020/11/9/,confirmed and probable,Milwaukee County,60348,56645,3703,70179
2020/11/10/,confirmed and probable,Milwaukee County,61622,57851,3771,70179
2020/11/11/,confirmed and probable,Milwaukee County,62744,58839,3905,70179
2020/11/12/,confirmed and probable,Milwaukee County,63874,59856,4018,70179
2020/11/13/,confirmed and probable,Milwaukee County,64905,60771,4134,70179
2020/11/14/,confirmed and probable,Milwaukee County,65400,61232,4168,70179
2020/11/15/,confirmed and probable,Milwaukee County,65806,61608,4198,70179
2020/11/16/,confirmed and probable,Milwaukee County,66852,62546,4306,70179
2020/11/17/,confirmed and probable,Milwaukee County,67656,63267,4389,70179
2020/11/18/,confirmed and probable,Milwaukee County,68178,63721,4457,70179
2020/11/19/,confirmed and probable,Milwaukee County,68833,64333,4500,70179
2020/11/20/,confirmed and probable,Milwaukee County,69293,64738,4555,70179
2020/11/21/,confirmed and probable,Milwaukee County,69541,64961,4580,70179
2020/11/22/,confirmed and probable,Milwaukee County,69692,65097,4595,70179
2020/11/23/,confirmed and probable,Milwaukee County,69977,65355,4622,70179
2020/11/24/,confirmed and probable,Milwaukee County,70146,65504,4642,70179
2020/11/25/,confirmed and probable,Milwaukee County,70179,65523,4656,70179
