/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/10/11/,confirmed and probable,Rock County,3945,3726,219,9413
2020/10/12/,confirmed and probable,Rock County,4109,3889,220,9413
2020/10/13/,confirmed and probable,Rock County,4235,4012,223,9413
2020/10/14/,confirmed and probable,Rock County,4352,4127,225,9413
2020/10/15/,confirmed and probable,Rock County,4490,4262,228,9413
2020/10/16/,confirmed and probable,Rock County,4617,4387,230,9413
2020/10/17/,confirmed and probable,Rock County,4671,4441,230,9413
2020/10/18/,confirmed and probable,Rock County,4716,4485,231,9413
2020/10/19/,confirmed and probable,Rock County,4842,4610,232,9413
2020/10/20/,confirmed and probable,Rock County,4951,4718,233,9413
2020/10/21/,confirmed and probable,Rock County,5120,4887,233,9413
2020/10/22/,confirmed and probable,Rock County,5242,5006,236,9413
2020/10/23/,confirmed and probable,Rock County,5359,5121,238,9413
2020/10/24/,confirmed and probable,Rock County,5444,5203,241,9413
2020/10/25/,confirmed and probable,Rock County,5519,5274,245,9413
2020/10/26/,confirmed and probable,Rock County,5687,5441,246,9413
2020/10/27/,confirmed and probable,Rock County,5833,5586,247,9413
2020/10/28/,confirmed and probable,Rock County,6014,5763,251,9413
2020/10/29/,confirmed and probable,Rock County,6162,5906,256,9413
2020/10/30/,confirmed and probable,Rock County,6255,5996,259,9413
2020/10/31/,confirmed and probable,Rock County,6346,6085,261,9413
2020/11/1/,confirmed and probable,Rock County,6428,6160,268,9413
2020/11/2/,confirmed and probable,Rock County,6606,6327,279,9413
2020/11/3/,confirmed and probable,Rock County,6762,6475,287,9413
2020/11/4/,confirmed and probable,Rock County,6993,6705,288,9413
2020/11/5/,confirmed and probable,Rock County,7162,6867,295,9413
2020/11/6/,confirmed and probable,Rock County,7303,7004,299,9413
2020/11/7/,confirmed and probable,Rock County,7397,7097,300,9413
2020/11/8/,confirmed and probable,Rock County,7496,7192,304,9413
2020/11/9/,confirmed and probable,Rock County,7694,7384,310,9413
2020/11/10/,confirmed and probable,Rock County,7862,7542,320,9413
2020/11/11/,confirmed and probable,Rock County,8050,7713,337,9413
2020/11/12/,confirmed and probable,Rock County,8295,7948,347,9413
2020/11/13/,confirmed and probable,Rock County,8414,8058,356,9413
2020/11/14/,confirmed and probable,Rock County,8500,8139,361,9413
2020/11/15/,confirmed and probable,Rock County,8584,8218,366,9413
2020/11/16/,confirmed and probable,Rock County,8751,8377,374,9413
2020/11/17/,confirmed and probable,Rock County,8912,8529,383,9413
2020/11/18/,confirmed and probable,Rock County,9066,8678,388,9413
2020/11/19/,confirmed and probable,Rock County,9171,8775,396,9413
2020/11/20/,confirmed and probable,Rock County,9244,8842,402,9413
2020/11/21/,confirmed and probable,Rock County,9295,8892,403,9413
2020/11/22/,confirmed and probable,Rock County,9331,8927,404,9413
2020/11/23/,confirmed and probable,Rock County,9386,8971,415,9413
2020/11/24/,confirmed and probable,Rock County,9409,8990,419,9413
2020/11/25/,confirmed and probable,Rock County,9413,8993,420,9413
