/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/7/29/,confirmed and probable,Winnebago County,1202,1123,79,14045
2020/7/30/,confirmed and probable,Winnebago County,1218,1138,80,14045
2020/7/31/,confirmed and probable,Winnebago County,1236,1156,80,14045
2020/8/1/,confirmed and probable,Winnebago County,1242,1162,80,14045
2020/8/2/,confirmed and probable,Winnebago County,1251,1171,80,14045
2020/8/3/,confirmed and probable,Winnebago County,1270,1189,81,14045
2020/8/4/,confirmed and probable,Winnebago County,1291,1208,83,14045
2020/8/5/,confirmed and probable,Winnebago County,1319,1235,84,14045
2020/8/6/,confirmed and probable,Winnebago County,1334,1250,84,14045
2020/8/7/,confirmed and probable,Winnebago County,1349,1265,84,14045
2020/8/8/,confirmed and probable,Winnebago County,1360,1276,84,14045
2020/8/9/,confirmed and probable,Winnebago County,1369,1285,84,14045
2020/8/10/,confirmed and probable,Winnebago County,1381,1297,84,14045
2020/8/11/,confirmed and probable,Winnebago County,1393,1309,84,14045
2020/8/12/,confirmed and probable,Winnebago County,1413,1328,85,14045
2020/8/13/,confirmed and probable,Winnebago County,1419,1334,85,14045
2020/8/14/,confirmed and probable,Winnebago County,1432,1347,85,14045
2020/8/15/,confirmed and probable,Winnebago County,1445,1359,86,14045
2020/8/16/,confirmed and probable,Winnebago County,1456,1370,86,14045
2020/8/17/,confirmed and probable,Winnebago County,1466,1380,86,14045
2020/8/18/,confirmed and probable,Winnebago County,1486,1399,87,14045
2020/8/19/,confirmed and probable,Winnebago County,1506,1419,87,14045
2020/8/20/,confirmed and probable,Winnebago County,1524,1437,87,14045
2020/8/21/,confirmed and probable,Winnebago County,1540,1452,88,14045
2020/8/22/,confirmed and probable,Winnebago County,1563,1475,88,14045
2020/8/23/,confirmed and probable,Winnebago County,1587,1499,88,14045
2020/8/24/,confirmed and probable,Winnebago County,1613,1524,89,14045
2020/8/25/,confirmed and probable,Winnebago County,1642,1552,90,14045
2020/8/26/,confirmed and probable,Winnebago County,1662,1571,91,14045
2020/8/27/,confirmed and probable,Winnebago County,1695,1602,93,14045
2020/8/28/,confirmed and probable,Winnebago County,1723,1628,95,14045
2020/8/29/,confirmed and probable,Winnebago County,1744,1648,96,14045
2020/8/30/,confirmed and probable,Winnebago County,1764,1667,97,14045
2020/8/31/,confirmed and probable,Winnebago County,1804,1707,97,14045
2020/9/1/,confirmed and probable,Winnebago County,1828,1729,99,14045
2020/9/2/,confirmed and probable,Winnebago County,1853,1754,99,14045
2020/9/3/,confirmed and probable,Winnebago County,1892,1792,100,14045
2020/9/4/,confirmed and probable,Winnebago County,1918,1817,101,14045
2020/9/5/,confirmed and probable,Winnebago County,1949,1847,102,14045
2020/9/6/,confirmed and probable,Winnebago County,1983,1881,102,14045
2020/9/7/,confirmed and probable,Winnebago County,2030,1927,103,14045
2020/9/8/,confirmed and probable,Winnebago County,2115,2011,104,14045
2020/9/9/,confirmed and probable,Winnebago County,2196,2090,106,14045
2020/9/10/,confirmed and probable,Winnebago County,2312,2202,110,14045
2020/9/11/,confirmed and probable,Winnebago County,2404,2292,112,14045
2020/9/12/,confirmed and probable,Winnebago County,2486,2372,114,14045
2020/9/13/,confirmed and probable,Winnebago County,2558,2440,118,14045
2020/9/14/,confirmed and probable,Winnebago County,2706,2583,123,14045
2020/9/15/,confirmed and probable,Winnebago County,2868,2734,134,14045
2020/9/16/,confirmed and probable,Winnebago County,3023,2886,137,14045
2020/9/17/,confirmed and probable,Winnebago County,3156,3016,140,14045
2020/9/18/,confirmed and probable,Winnebago County,3268,3121,147,14045
2020/9/19/,confirmed and probable,Winnebago County,3368,3219,149,14045
2020/9/20/,confirmed and probable,Winnebago County,3437,3285,152,14045
2020/9/21/,confirmed and probable,Winnebago County,3634,3477,157,14045
