/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/10/15/,confirmed and probable,Dane County,13397,12905,492,27120
2020/10/16/,confirmed and probable,Dane County,13614,13120,494,27120
2020/10/17/,confirmed and probable,Dane County,13773,13276,497,27120
2020/10/18/,confirmed and probable,Dane County,13924,13420,504,27120
2020/10/19/,confirmed and probable,Dane County,14124,13617,507,27120
2020/10/20/,confirmed and probable,Dane County,14421,13912,509,27120
2020/10/21/,confirmed and probable,Dane County,14692,14178,514,27120
2020/10/22/,confirmed and probable,Dane County,14976,14456,520,27120
2020/10/23/,confirmed and probable,Dane County,15258,14734,524,27120
2020/10/24/,confirmed and probable,Dane County,15537,15012,525,27120
2020/10/25/,confirmed and probable,Dane County,15704,15176,528,27120
2020/10/26/,confirmed and probable,Dane County,16032,15493,539,27120
2020/10/27/,confirmed and probable,Dane County,16469,15923,546,27120
2020/10/28/,confirmed and probable,Dane County,16844,16291,553,27120
2020/10/29/,confirmed and probable,Dane County,17224,16663,561,27120
2020/10/30/,confirmed and probable,Dane County,17609,17043,566,27120
2020/10/31/,confirmed and probable,Dane County,17926,17356,570,27120
2020/11/1/,confirmed and probable,Dane County,18201,17624,577,27120
2020/11/2/,confirmed and probable,Dane County,18637,18054,583,27120
2020/11/3/,confirmed and probable,Dane County,19208,18622,586,27120
2020/11/4/,confirmed and probable,Dane County,19793,19203,590,27120
2020/11/5/,confirmed and probable,Dane County,20312,19721,591,27120
2020/11/6/,confirmed and probable,Dane County,20814,20220,594,27120
2020/11/7/,confirmed and probable,Dane County,21190,20594,596,27120
2020/11/8/,confirmed and probable,Dane County,21493,20896,597,27120
2020/11/9/,confirmed and probable,Dane County,22011,21411,600,27120
2020/11/10/,confirmed and probable,Dane County,22616,22013,603,27120
2020/11/11/,confirmed and probable,Dane County,23133,22521,612,27120
2020/11/12/,confirmed and probable,Dane County,23607,22985,622,27120
2020/11/13/,confirmed and probable,Dane County,24045,23412,633,27120
2020/11/14/,confirmed and probable,Dane County,24398,23752,646,27120
2020/11/15/,confirmed and probable,Dane County,24639,23981,658,27120
2020/11/16/,confirmed and probable,Dane County,25009,24335,674,27120
2020/11/17/,confirmed and probable,Dane County,25440,24758,682,27120
2020/11/18/,confirmed and probable,Dane County,25848,25146,702,27120
2020/11/19/,confirmed and probable,Dane County,26179,25468,711,27120
2020/11/20/,confirmed and probable,Dane County,26494,25770,724,27120
2020/11/21/,confirmed and probable,Dane County,26667,25936,731,27120
2020/11/22/,confirmed and probable,Dane County,26754,26018,736,27120
2020/11/23/,confirmed and probable,Dane County,26911,26163,748,27120
2020/11/24/,confirmed and probable,Dane County,27099,26346,753,27120
2020/11/25/,confirmed and probable,Dane County,27120,26367,753,27120
